,date,Negative,Neutral,Positive
sum of occurances,2020-03-04,0,335,21
sum of occurances,2020-03-05,0,335,21
sum of occurances,2020-03-06,0,322,34
sum of occurances,2020-03-07,0,317,39
sum of occurances,2020-03-08,2,307,47
sum of occurances,2020-03-09,5,322,29
sum of occurances,2020-03-10,2,315,39
sum of occurances,2020-03-11,2,290,64
sum of occurances,2020-03-12,6,286,64
sum of occurances,2020-03-13,1,275,80
sum of occurances,2020-03-14,1,279,76
sum of occurances,2020-03-15,0,268,88
sum of occurances,2020-03-16,1,236,119
sum of occurances,2020-03-17,0,235,121
sum of occurances,2020-03-18,0,199,157
sum of occurances,2020-03-19,0,199,157
sum of occurances,2020-03-20,6,159,191
sum of occurances,2020-03-21,0,157,199
sum of occurances,2020-03-22,1,163,192
sum of occurances,2020-03-23,0,166,190
sum of occurances,2020-03-24,0,130,226
sum of occurances,2020-03-25,1,111,244
sum of occurances,2020-03-26,0,95,261
sum of occurances,2020-03-27,4,89,263
sum of occurances,2020-03-28,0,93,263
sum of occurances,2020-03-29,1,91,264
