Category;Aantal
Aalsmeer;null
Aalten;null
Achtkarspelen;null
Alblasserdam;null
Albrandswaard;null
Alkmaar;null
Almelo;null
Almere;1
Alphen aan den Rijn;1
Alphen-Chaam;null
Altena;4
Ameland;null
Amersfoort;null
Amstelveen;null
Amsterdam;2
Apeldoorn;null
Appingedam;null
Arnhem;1
Assen;null
Asten;null
Baarle-Nassau;null
Baarn;null
Barendrecht;null
Barneveld;null
Beek;null
Beekdaelen;1
Beemster;null
Beesel;null
Berg en Dal;null
Bergeijk;null
Bergen (L);null
Bergen (NH);null
Bergen op Zoom;null
Berkelland;null
Bernheze;null
Best;1
Beuningen;1
Beverwijk;2
Bladel;null
Blaricum;1
Bloemendaal;null
Bodegraven-Reeuwijk;null
Boekel;null
Borger-Odoorn;null
Borne;1
Borsele;null
Boxmeer;null
Boxtel;null
Breda;2
Brielle;null
Bronckhorst;1
Brummen;null
Brunssum;null
Bunnik;null
Bunschoten;null
Buren;null
Capelle aan den IJssel;null
Castricum;null
Coevorden;3
Cranendonck;null
Cuijk;null
Culemborg;1
Dalfsen;null
Dantumadiel;null
De Bilt;3
De Fryske Marren;null
De Ronde Venen;null
De Wolden;null
Delft;1
Delfzijl;null
Den Helder;null
Deurne;null
Deventer;null
Diemen;2
Dinkelland;null
Doesburg;null
Doetinchem;null
Dongen;1
Dordrecht;null
Drechterland;null
Drimmelen;null
Dronten;null
Druten;null
Duiven;null
Echt-Susteren;null
Edam-Volendam;null
Ede;null
Eemnes;null
Eersel;null
Eijsden-Margraten;null
Eindhoven;4
Elburg;null
Emmen;null
Enkhuizen;null
Enschede;null
Epe;null
Ermelo;null
Etten-Leur;null
Geertruidenberg;null
Geldrop-Mierlo;null
Gemert-Bakel;1
Gennep;null
Gilze en Rijen;null
Goeree-Overflakkee;null
Goes;null
Goirle;null
Gooise Meren;2
Gorinchem;null
Gouda;null
Grave;null
Groningen;null
Gulpen-Wittem;null
Haaksbergen;null
Haaren;null
Haarlem;1
Haarlemmermeer;null
Halderberge;null
Hardenberg;null
Harderwijk;null
Hardinxveld-Giessendam;4
Harlingen;null
Hattem;null
Heemskerk;null
Heemstede;null
Heerde;null
Heerenveen;null
Heerhugowaard;null
Heerlen;null
Heeze-Leende;null
Heiloo;null
Hellendoorn;null
Hellevoetsluis;null
Helmond;4
Hendrik-Ido-Ambacht;null
Hengelo (O);null
Het Hogeland;null
Heumen;null
Heusden;null
Hillegom;null
Hilvarenbeek;null
Hilversum;null
Hoeksche Waard;1
Hof van Twente;null
Hollands Kroon;null
Hoogeveen;null
Hoorn;null
Horst aan de Maas;null
Houten;9
Huizen;null
Hulst;null
IJsselstein;null
Kaag en Braassem;null
Kampen;null
Kapelle;null
Katwijk;null
Kerkrade;null
Koggenland;null
Krimpen aan den IJssel;null
Krimpenerwaard;null
Laarbeek;null
Landerd;null
Landgraaf;null
Landsmeer;null
Langedijk;null
Lansingerland;1
Laren;null
Leeuwarden;null
Leiden;null
Leiderdorp;null
Leidschendam-Voorburg;null
Lelystad;null
Leudal;null
Leusden;null
Lingewaard;1
Lisse;null
Lochem;null
Loon op Zand;5
Lopik;null
Loppersum;null
Losser;null
Maasdriel;null
Maasgouw;null
Maassluis;null
Maastricht;2
Medemblik;null
Meerssen;null
Meierijstad;null
Meppel;null
Middelburg;null
Midden-Delfland;null
Midden-Drenthe;null
Midden-Groningen;null
Mill en Sint Hubert;null
Moerdijk;null
Molenlanden;null
Montferland;null
Montfoort;null
Mook en Middelaar;null
Neder-Betuwe;null
Nederweert;null
Nieuwegein;null
Nieuwkoop;null
Nijkerk;null
Nijmegen;1
Nissewaard;null
Noardeast-Fryslân;null
Noord-Beveland;null
Noordenveld;null
Noordoostpolder;null
Noordwijk;null
Nuenen, Gerwen en Nederwetten;null
Nunspeet;null
Oegstgeest;null
Oirschot;null
Oisterwijk;1
Oldambt;null
Oldebroek;null
Oldenzaal;null
Olst-Wijhe;null
Ommen;null
Oost Gelre;null
Oosterhout;null
Ooststellingwerf;null
Oostzaan;null
Opmeer;null
Opsterland;null
Oss;1
Oude IJsselstreek;null
Ouder-Amstel;null
Oudewater;null
Overbetuwe;null
Papendrecht;null
Peel en Maas;null
Pekela;null
Pijnacker-Nootdorp;2
Purmerend;null
Putten;null
Raalte;null
Reimerswaal;null
Renkum;1
Renswoude;null
Reusel-De Mierden;null
Rheden;null
Rhenen;null
Ridderkerk;null
Rijssen-Holten;null
Rijswijk;null
Roerdalen;null
Roermond;null
Roosendaal;null
Rotterdam;9
Rozendaal;null
Rucphen;null
Schagen;null
Scherpenzeel;null
Schiedam;null
Schiermonnikoog;null
Schouwen-Duiveland;null
's-Gravenhage;2
's-Hertogenbosch;null
Simpelveld;2
Sint Anthonis;null
Sint-Michielsgestel;2
Sittard-Geleen;4
Sliedrecht;null
