"Category";"Aantal per 100.000 inwoners";"Aantal"
"Gemeente";69.6;108
"Gemeente";11.8;3
"Gemeente";37.7;12
"Gemeente";11.1;3
"Gemeente";7.2;2
"Gemeente";29.8;6
"Gemeente";82.1;21
"Gemeente";32.9;36
"Gemeente";19.2;14
"Gemeente";18.4;39
"Gemeente";28.6;32
"Gemeente";186;19
"Gemeente";69.7;39
"Gemeente";0;0
"Gemeente";37.5;59
"Gemeente";56.7;52
"Gemeente";47.1;411
"Gemeente";29.9;49
"Gemeente";8.6;1
"Gemeente";28.5;46
"Gemeente";11.7;8
"Gemeente";47.8;8
"Gemeente";29.2;2
"Gemeente";20.1;5
"Gemeente";43.1;21
"Gemeente";28.8;17
"Gemeente";81.9;13
"Gemeente";94.5;34
"Gemeente";39.9;4
"Gemeente";81.6;11
"Gemeente";125.8;44
"Gemeente";69.7;13
"Gemeente";15.3;2
"Gemeente";53.6;16
"Gemeente";22.2;15
"Gemeente";4.6;2
"Gemeente";278.4;87
"Gemeente";76.7;23
"Gemeente";61.8;16
"Gemeente";31.2;13
"Gemeente";73.5;15
"Gemeente";52;6
"Gemeente";72.1;17
"Gemeente";25.8;9
"Gemeente";472.9;51
"Gemeente";3.9;1
"Gemeente";55.8;13
"Gemeente";30.8;7
"Gemeente";44.3;13
"Gemeente";71.4;22
"Gemeente";116.7;215
"Gemeente";28.9;5
"Gemeente";22.2;8
"Gemeente";24.1;5
"Gemeente";86.3;24
"Gemeente";59.2;9
"Gemeente";13.7;3
"Gemeente";26.2;7
"Gemeente";46.2;31
"Gemeente";50;18
"Gemeente";48.2;17
"Gemeente";198.4;42
"Gemeente";31.8;8
"Gemeente";48.3;14
"Gemeente";49;14
"Gemeente";5.3;1
"Gemeente";83.5;36
"Gemeente";23.3;12
"Gemeente";38.2;17
"Gemeente";12.3;3
"Gemeente";26;27
"Gemeente";16.2;4
"Gemeente";16;9
"Gemeente";129.3;42
"Gemeente";32.8;33
"Gemeente";22.7;7
"Gemeente";105.8;28
"Gemeente";54.2;6
"Gemeente";29.3;17
"Gemeente";38.1;10
"Gemeente";26.8;32
"Gemeente";20.3;4
