"Category";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Hertogenbosch";477;307.5;126;81.2;77;49.6
"Aa en Hunze";14;55;1;3.9;0;0
"Aalsmeer";39;122.4;9;28.3;3;9.4
"Aalten";58;213.9;9;33.2;7;25.8
"Achtkarspelen";11;39.5;0;0;0;0
"Alblasserdam";43;213.2;10;49.6;4;19.8
"Albrandswaard";98;383;14;54.7;8;31.3
"Alkmaar";243;222;54;49.3;30;27.4
"Almelo";92;125.9;23;31.5;9;12.3
"Almere";426;201.1;123;58.1;30;14.2
"Alphen aan den Rijn";199;177.9;59;52.7;24;21.4
"Alphen-Chaam";46;450.4;18;176.2;5;49
"Altena";125;223.3;32;57.2;11;19.6
"Ameland";0;0;0;0;0;0
"Amersfoort";212;134.8;59;37.5;23;14.6
"Amstelveen";307;334.8;57;62.2;35;38.2
"Amsterdam";2367;271.2;611;70;275;31.5
"Apeldoorn";406;247.8;90;54.9;50;30.5
"Appingedam";5;42.9;3;25.8;0;0
"Arnhem";340;210.7;66;40.9;28;17.4
"Assen";42;61.2;12;17.5;2;2.9
"Asten";73;436.2;18;107.6;12;71.7
"Baarle-Nassau";25;364.4;9;131.2;2;29.2
"Baarn";58;233.2;11;44.2;9;36.2
"Barendrecht";129;264.8;40;82.1;13;26.7
"Barneveld";126;213.3;18;30.5;6;10.2
"Beek";44;277.3;15;94.5;5;31.5
"Beekdaelen";170;472.5;52;144.5;22;61.2
"Beemster";13;129.7;4;39.9;1;10
"Beesel";41;304.1;20;148.3;8;59.3
"Berg en Dal";161;460.1;29;82.9;16;45.7
"Bergeijk";55;295.1;19;101.9;5;26.8
"Bergen (L.)";23;175.8;7;53.5;2;15.3
"Bergen (NH.)";86;288.2;16;53.6;4;13.4
"Bergen op Zoom";164;243;24;35.6;11;16.3
"Berkelland";88;201.2;13;29.7;7;16
"Bernheze";274;876.9;96;307.2;65;208
"Best";75;250.1;31;103.4;10;33.4
"Beuningen";73;282;19;73.4;5;19.3
"Beverwijk";77;185;15;36;10;24
"Bladel";67;328.5;21;103;8;39.2
"Blaricum";28;242.7;8;69.3;2;17.3
"Bloemendaal";48;203.6;7;29.7;5;21.2
"Bodegraven-Reeuwijk";57;163.5;7;20.1;1;2.9
"Boekel";89;825.3;35;324.6;21;194.7
"Borger-Odoorn";9;35.2;4;15.7;3;11.7
"Borne";50;214.5;14;60.1;6;25.7
"Borsele";27;118.7;5;22;0;0
"Boxmeer";120;408.6;20;68.1;27;91.9
"Boxtel";102;331.1;24;77.9;24;77.9
"Breda";474;257.2;144;78.1;62;33.6
"Brielle";32;185.2;11;63.7;0;0
"Bronckhorst";73;202.5;17;47.2;7;19.4
"Brummen";35;168.6;17;81.9;5;24.1
"Brunssum";103;370.3;44;158.2;17;61.1
"Bunnik";44;289.6;9;59.2;1;6.6
"Bunschoten";63;288.1;9;41.2;7;32
"Buren";55;205.7;16;59.8;7;26.2
"Capelle aan den IJssel";288;428.9;53;78.9;53;78.9
"Castricum";80;222.3;15;41.7;9;25
"Coevorden";57;161.5;13;36.8;2;5.7
"Cranendonck";166;784.3;63;297.6;36;170.1
