"Gemeente";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Hertogenbosch";503;324.3;126;81.2;77;49.6
"Aa en Hunze";14;55;1;3.9;0;0
"Aalsmeer";40;125.6;9;28.3;3;9.4
"Aalten";60;221.3;9;33.2;7;25.8
"Achtkarspelen";11;39.5;0;0;0;0
"Alblasserdam";42;208.3;10;49.6;4;19.8
"Albrandswaard";103;402.5;14;54.7;8;31.3
"Alkmaar";244;222.9;54;49.3;31;28.3
"Almelo";92;125.9;23;31.5;9;12.3
"Almere";443;209.1;125;59;31;14.6
"Alphen aan den Rijn";214;191.3;60;53.6;25;22.3
"Alphen-Chaam";46;450.4;18;176.2;5;49
"Altena";130;232.2;32;57.2;11;19.6
"Ameland";0;0;0;0;0;0
"Amersfoort";220;139.9;59;37.5;23;14.6
"Amstelveen";320;349;58;63.3;35;38.2
"Amsterdam";2552;292.4;616;70.6;280;32.1
"Apeldoorn";435;265.5;91;55.5;50;30.5
"Appingedam";5;42.9;3;25.8;0;0
"Arnhem";394;244.2;67;41.5;30;18.6
"Assen";45;65.6;12;17.5;2;2.9
"Asten";76;454.2;18;107.6;12;71.7
"Baarle-Nassau";25;364.4;9;131.2;2;29.2
"Baarn";60;241.2;11;44.2;9;36.2
"Barendrecht";138;283.3;40;82.1;13;26.7
"Barneveld";130;220.1;18;30.5;6;10.2
"Beek";44;277.3;15;94.5;6;37.8
"Beekdaelen";172;478.1;52;144.5;23;63.9
"Beemster";14;139.7;4;39.9;1;10
"Beesel";44;326.3;20;148.3;8;59.3
"Berg en Dal";179;511.6;29;82.9;16;45.7
"Bergeijk";58;311.2;19;101.9;5;26.8
"Bergen (L.)";25;191.1;7;53.5;2;15.3
"Bergen (NH.)";86;288.2;16;53.6;4;13.4
"Bergen op Zoom";170;251.9;24;35.6;12;17.8
"Berkelland";96;219.4;13;29.7;7;16
"Bernheze";275;880.1;96;307.2;65;208
"Best";78;260.1;31;103.4;10;33.4
"Beuningen";74;285.8;19;73.4;5;19.3
"Beverwijk";80;192.2;15;36;10;24
"Bladel";73;357.9;21;103;8;39.2
"Blaricum";28;242.7;8;69.3;2;17.3
"Bloemendaal";52;220.6;7;29.7;5;21.2
"Bodegraven-Reeuwijk";58;166.3;7;20.1;1;2.9
"Boekel";89;825.3;35;324.6;21;194.7
"Borger-Odoorn";9;35.2;4;15.7;3;11.7
"Borne";50;214.5;14;60.1;6;25.7
"Borsele";27;118.7;5;22;0;0
"Boxmeer";124;422.2;20;68.1;27;91.9
"Boxtel";121;392.8;24;77.9;26;84.4
"Breda";486;263.7;144;78.1;62;33.6
"Brielle";33;191;11;63.7;0;0
"Bronckhorst";74;205.3;17;47.2;7;19.4
