"Gemeente";"Gemnr";"Gemeente";"Bev_2020";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"Aa en Hunze";1680;"Aa en Hunze";25445;"21-04-2021";"04-05-2021";49;192.6;0;0;0;0
"Aalsmeer";358;"Aalsmeer";31859;"21-04-2021";"04-05-2021";251;787.8;0;0;0;0
"Aalten";197;"Aalten";27121;"21-04-2021";"04-05-2021";111;409.3;1;3.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27843;"21-04-2021";"04-05-2021";171;614.2;2;7.2;0;0
"Alblasserdam";482;"Alblasserdam";20165;"21-04-2021";"04-05-2021";199;986.9;0;0;0;0
"Albrandswaard";613;"Albrandswaard";25590;"21-04-2021";"04-05-2021";146;570.5;2;7.8;0;0
"Alkmaar";361;"Alkmaar";109436;"21-04-2021";"04-05-2021";432;394.8;3;2.7;0;0
"Almelo";141;"Almelo";73107;"21-04-2021";"04-05-2021";356;487;2;2.7;1;1.4
"Almere";34;"Almere";211893;"21-04-2021";"04-05-2021";762;359.6;1;0.5;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";111897;"21-04-2021";"04-05-2021";630;563;3;2.7;1;0.9
"Alphen-Chaam";1723;"Alphen-Chaam";10203;"21-04-2021";"04-05-2021";74;725.3;0;0;0;0
"Altena";1959;"Altena";55967;"21-04-2021";"04-05-2021";289;516.4;0;0;0;0
"Ameland";60;"Ameland";3716;"21-04-2021";"04-05-2021";10;269.1;0;0;0;0
"Amersfoort";307;"Amersfoort";157276;"21-04-2021";"04-05-2021";757;481.3;4;2.5;1;0.6
"Amstelveen";362;"Amstelveen";91675;"21-04-2021";"04-05-2021";390;425.4;0;0;0;0
"Amsterdam";363;"Amsterdam";872757;"21-04-2021";"04-05-2021";4369;500.6;40;4.6;13;1.5
"Apeldoorn";200;"Apeldoorn";163818;"21-04-2021";"04-05-2021";788;481;2;1.2;3;1.8
"Arnhem";202;"Arnhem";161348;"21-04-2021";"04-05-2021";806;499.5;4;2.5;0;0
"Assen";106;"Assen";68599;"21-04-2021";"04-05-2021";205;298.8;5;7.3;0;0
"Asten";743;"Asten";16721;"21-04-2021";"04-05-2021";137;819.3;0;0;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6859;"21-04-2021";"04-05-2021";49;714.4;1;14.6;0;0
"Baarn";308;"Baarn";24868;"21-04-2021";"04-05-2021";159;639.4;1;4;0;0
"Barendrecht";489;"Barendrecht";48714;"21-04-2021";"04-05-2021";299;613.8;4;8.2;0;0
"Barneveld";203;"Barneveld";59082;"21-04-2021";"04-05-2021";423;716;4;6.8;1;1.7
"Beek";888;"Beek";15865;"21-04-2021";"04-05-2021";126;794.2;1;6.3;0;0
"Beekdaelen";1954;"Beekdaelen";35938;"21-04-2021";"04-05-2021";309;859.8;4;11.1;3;8.3
"Beemster";370;"Beemster";10022;"21-04-2021";"04-05-2021";28;279.4;0;0;0;0
"Beesel";889;"Beesel";13482;"21-04-2021";"04-05-2021";139;1031;2;14.8;0;0
"Berg en Dal";1945;"Berg en Dal";34992;"21-04-2021";"04-05-2021";253;723;0;0;2;5.7
"Bergeijk";1724;"Bergeijk";18635;"21-04-2021";"04-05-2021";115;617.1;0;0;0;0
"Bergen (L.)";893;"Bergen (L.)";13085;"21-04-2021";"04-05-2021";69;527.3;0;0;0;0
"Bergen (NH.)";373;"Bergen (NH.)";29839;"21-04-2021";"04-05-2021";102;341.8;0;0;0;0
"Bergen op Zoom";748;"Bergen op Zoom";67496;"21-04-2021";"04-05-2021";328;486;0;0;1;1.5
"Berkelland";1859;"Berkelland";43747;"21-04-2021";"04-05-2021";279;637.8;1;2.3;1;2.3
"Bernheze";1721;"Bernheze";31240;"21-04-2021";"04-05-2021";310;992.3;0;0;0;0
"Best";753;"Best";29988;"21-04-2021";"04-05-2021";141;470.2;1;3.3;0;0
"Beuningen";209;"Beuningen";25890;"21-04-2021";"04-05-2021";207;799.5;3;11.6;0;0
"Beverwijk";375;"Beverwijk";41626;"21-04-2021";"04-05-2021";192;461.3;1;2.4;0;0
"Bladel";1728;"Bladel";20390;"21-04-2021";"04-05-2021";161;789.6;1;4.9;0;0
"Blaricum";376;"Blaricum";11540;"21-04-2021";"04-05-2021";52;450.6;0;0;0;0
"Bloemendaal";377;"Bloemendaal";23571;"21-04-2021";"04-05-2021";83;352.1;0;0;0;0
"Bodegraven-Reeuwijk";1901;"Bodegraven-Reeuwijk";34872;"21-04-2021";"04-05-2021";206;590.7;1;2.9;1;2.9
"Boekel";755;"Boekel";10785;"21-04-2021";"04-05-2021";57;528.5;0;0;0;0
"Borger-Odoorn";1681;"Borger-Odoorn";25559;"21-04-2021";"04-05-2021";85;332.6;1;3.9;0;0
"Borne";147;"Borne";23312;"21-04-2021";"04-05-2021";131;561.9;0;0;0;0
"Borsele";654;"Borsele";22739;"21-04-2021";"04-05-2021";130;571.7;1;4.4;0;0
"Boxmeer";756;"Boxmeer";29365;"21-04-2021";"04-05-2021";215;732.2;1;3.4;1;3.4
"Boxtel";757;"Boxtel";32970;"21-04-2021";"04-05-2021";266;806.8;1;3;1;3
"Breda";758;"Breda";184069;"21-04-2021";"04-05-2021";1080;586.7;5;2.7;2;1.1
"Brielle";501;"Brielle";17271;"21-04-2021";"04-05-2021";131;758.5;1;5.8;0;0
"Bronckhorst";1876;"Bronckhorst";36055;"21-04-2021";"04-05-2021";170;471.5;2;5.5;2;5.5
"Brummen";213;"Brummen";20726;"21-04-2021";"04-05-2021";107;516.3;0;0;0;0
"Brunssum";899;"Brunssum";27821;"21-04-2021";"04-05-2021";235;844.7;1;3.6;0;0
"Bunnik";312;"Bunnik";15191;"21-04-2021";"04-05-2021";55;362.1;0;0;0;0
