"Gemeente";"Gemnr";"Gemeente";"Bev";"van_datum";"tot_datum";"Totaal_Absoluut";"Totaal_inc100000";"Zkh_Absoluut";"Zkh_inc100000";"Overleden_Absoluut";"Overleden_inc100000"
"'s-Gravenhage";518;"'s-Gravenhage";548320;"30-03-2022";"12-04-2022";5028;917;49;8.9;2;0.4
"'s-Hertogenbosch";796;"'s-Hertogenbosch";155490;"30-03-2022";"12-04-2022";1010;649.6;15;9.6;0;0
"Aa en Hunze";1680;"Aa en Hunze";25399;"30-03-2022";"12-04-2022";338;1330.8;1;3.9;0;0
"Aalsmeer";358;"Aalsmeer";31991;"30-03-2022";"12-04-2022";312;975.3;1;3.1;0;0
"Aalten";197;"Aalten";27120;"30-03-2022";"12-04-2022";335;1235.3;1;3.7;0;0
"Achtkarspelen";59;"Achtkarspelen";27900;"30-03-2022";"12-04-2022";175;627.2;2;7.2;0;0
"Alblasserdam";482;"Alblasserdam";20136;"30-03-2022";"12-04-2022";143;710.2;1;5;0;0
"Albrandswaard";613;"Albrandswaard";25814;"30-03-2022";"12-04-2022";332;1286.1;5;19.4;0;0
"Alkmaar";361;"Alkmaar";109896;"30-03-2022";"12-04-2022";980;891.8;9;8.2;1;0.9
"Almelo";141;"Almelo";73132;"30-03-2022";"12-04-2022";771;1054.3;11;15;0;0
"Almere";34;"Almere";214715;"30-03-2022";"12-04-2022";1946;906.3;5;2.3;0;0
"Alphen aan den Rijn";484;"Alphen aan den Rijn";112587;"30-03-2022";"12-04-2022";1186;1053.4;5;4.4;0;0
"Alphen-Chaam";1723;"Alphen-Chaam";10373;"30-03-2022";"12-04-2022";72;694.1;0;0;0;0
"Altena";1959;"Altena";56352;"30-03-2022";"12-04-2022";370;656.6;6;10.6;0;0
"Ameland";60;"Ameland";3746;"30-03-2022";"12-04-2022";44;1174.6;0;0;0;0
"Amersfoort";307;"Amersfoort";157462;"30-03-2022";"12-04-2022";1789;1136.1;16;10.2;0;0
"Amstelveen";362;"Amstelveen";90829;"30-03-2022";"12-04-2022";914;1006.3;3;3.3;1;1.1
"Amsterdam";363;"Amsterdam";893783;"30-03-2022";"12-04-2022";7822;875.2;49;5.5;4;0.4
"Apeldoorn";200;"Apeldoorn";164781;"30-03-2022";"12-04-2022";2080;1262.3;17;10.3;3;1.8
"Arnhem";202;"Arnhem";162424;"30-03-2022";"12-04-2022";1629;1002.9;3;1.8;1;0.6
"Assen";106;"Assen";68836;"30-03-2022";"12-04-2022";1006;1461.4;0;0;0;0
"Asten";743;"Asten";16817;"30-03-2022";"12-04-2022";99;588.7;1;5.9;0;0
"Baarle-Nassau";744;"Baarle-Nassau";6899;"30-03-2022";"12-04-2022";52;753.7;2;29;0;0
"Baarn";308;"Baarn";24792;"30-03-2022";"12-04-2022";241;972.1;2;8.1;0;0
