"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000";"Overleden";"Overleden per 100.000"
"'s-Gravenhage";553417;"16-11-2022";"29-11-2022";306;55,3;21;3,8;1;0,2
"'s-Hertogenbosch";156538;"16-11-2022";"29-11-2022";86;54,9;7;4,5;1;0,6
"Aa en Hunze";25579;"16-11-2022";"29-11-2022";8;31,3;0;0;0;0
"Aalsmeer";32452;"16-11-2022";"29-11-2022";23;70,9;1;3,1;0;0
"Aalten";27100;"16-11-2022";"29-11-2022";11;40,6;2;7,4;0;0
"Achtkarspelen";27954;"16-11-2022";"29-11-2022";12;42,9;1;3,6;0;0
"Alblasserdam";20087;"16-11-2022";"29-11-2022";8;39,8;1;5;0;0
"Albrandswaard";25934;"16-11-2022";"29-11-2022";17;65,6;0;0;0;0
"Alkmaar";110783;"16-11-2022";"29-11-2022";60;54,2;9;8,1;0;0
"Almelo";73155;"16-11-2022";"29-11-2022";23;31,4;1;1,4;0;0
"Almere";217828;"16-11-2022";"29-11-2022";101;46,4;3;1,4;1;0,5
"Alphen aan den Rijn";112926;"16-11-2022";"29-11-2022";58;51,4;8;7,1;0;0
"Alphen-Chaam";10425;"16-11-2022";"29-11-2022";8;76,7;2;19,2;0;0
"Altena";57009;"16-11-2022";"29-11-2022";8;14;4;7;0;0
"Ameland";3757;"16-11-2022";"29-11-2022";0;0;0;0;0;0
"Amersfoort";158590;"16-11-2022";"29-11-2022";137;86,4;12;7,6;0;0
"Amstelveen";92331;"16-11-2022";"29-11-2022";70;75,8;0;0;0;0
"Amsterdam";903399;"16-11-2022";"29-11-2022";539;59,7;10;1,1;0;0
"Apeldoorn";165611;"16-11-2022";"29-11-2022";136;82,1;9;5,4;1;0,6
"Arnhem";163888;"16-11-2022";"29-11-2022";120;73,2;2;1,2;0;0
"Assen";68979;"16-11-2022";"29-11-2022";24;34,8;0;0;0;0
