"Gemeente";"Inwoners";"Van";"Tot";"Meldingen";"Meldingen per 100.000";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"15-03-2023";"28-03-2023";123;22,2;23;4,2
"'s-Hertogenbosch";156538;"15-03-2023";"28-03-2023";32;20,4;11;7
"Aa en Hunze";25579;"15-03-2023";"28-03-2023";2;7,8;0;0
"Aalsmeer";32452;"15-03-2023";"28-03-2023";5;15,4;1;3,1
"Aalten";27100;"15-03-2023";"28-03-2023";6;22,1;3;11,1
"Achtkarspelen";27954;"15-03-2023";"28-03-2023";7;25;1;3,6
"Alblasserdam";20087;"15-03-2023";"28-03-2023";7;34,8;3;14,9
"Albrandswaard";25934;"15-03-2023";"28-03-2023";6;23,1;3;11,6
"Alkmaar";110783;"15-03-2023";"28-03-2023";27;24,4;8;7,2
"Almelo";73155;"15-03-2023";"28-03-2023";21;28,7;1;1,4
"Almere";217828;"15-03-2023";"28-03-2023";45;20,7;1;0,5
"Alphen aan den Rijn";112926;"15-03-2023";"28-03-2023";25;22,1;11;9,7
"Alphen-Chaam";10425;"15-03-2023";"28-03-2023";1;9,6;0;0
"Altena";57009;"15-03-2023";"28-03-2023";7;12,3;3;5,3
"Ameland";3757;"15-03-2023";"28-03-2023";0;0;0;0
"Amersfoort";158590;"15-03-2023";"28-03-2023";28;17,7;0;0
"Amstelveen";92331;"15-03-2023";"28-03-2023";22;23,8;1;1,1
"Amsterdam";903399;"15-03-2023";"28-03-2023";156;17,3;38;4,2
"Apeldoorn";165611;"15-03-2023";"28-03-2023";38;22,9;21;12,7
"Arnhem";163888;"15-03-2023";"28-03-2023";47;28,7;11;6,7
"Assen";68979;"15-03-2023";"28-03-2023";6;8,7;1;1,4
"Asten";17068;"15-03-2023";"28-03-2023";6;35,2;5;29,3
"Baarle-Nassau";6931;"15-03-2023";"28-03-2023";0;0;0;0
"Baarn";24876;"15-03-2023";"28-03-2023";3;12,1;1;4
"Barendrecht";48714;"15-03-2023";"28-03-2023";10;20,5;7;14,4
"Barneveld";60584;"15-03-2023";"28-03-2023";12;19,8;0;0
"Beek";15817;"15-03-2023";"28-03-2023";4;25,3;2;12,6
"Beekdaelen";35922;"15-03-2023";"28-03-2023";5;13,9;2;5,6
"Beesel";13408;"15-03-2023";"28-03-2023";0;0;0;0
"Berg en Dal";34951;"15-03-2023";"28-03-2023";16;45,8;5;14,3
"Bergeijk";18879;"15-03-2023";"28-03-2023";5;26,5;2;10,6
"Bergen (L.)";13106;"15-03-2023";"28-03-2023";1;7,6;0;0
"Bergen (NH.)";29723;"15-03-2023";"28-03-2023";8;26,9;4;13,5
"Bergen op Zoom";67894;"15-03-2023";"28-03-2023";3;4,4;8;11,8
"Berkelland";43850;"15-03-2023";"28-03-2023";12;27,4;9;20,5
"Bernheze";31715;"15-03-2023";"28-03-2023";4;12,6;0;0
"Best";30608;"15-03-2023";"28-03-2023";5;16,3;0;0
