"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000"
"'s-Gravenhage";553417;"05-04-2023";"18-04-2023";22;4
"'s-Hertogenbosch";156538;"05-04-2023";"18-04-2023";3;1,9
"Aa en Hunze";25579;"05-04-2023";"18-04-2023";0;0
"Aalsmeer";32452;"05-04-2023";"18-04-2023";0;0
"Aalten";27100;"05-04-2023";"18-04-2023";1;3,7
"Achtkarspelen";27954;"05-04-2023";"18-04-2023";2;7,2
"Alblasserdam";20087;"05-04-2023";"18-04-2023";0;0
"Albrandswaard";25934;"05-04-2023";"18-04-2023";0;0
"Alkmaar";110783;"05-04-2023";"18-04-2023";6;5,4
"Almelo";73155;"05-04-2023";"18-04-2023";0;0
"Almere";217828;"05-04-2023";"18-04-2023";0;0
"Alphen aan den Rijn";112926;"05-04-2023";"18-04-2023";8;7,1
"Alphen-Chaam";10425;"05-04-2023";"18-04-2023";0;0
"Altena";57009;"05-04-2023";"18-04-2023";0;0
"Ameland";3757;"05-04-2023";"18-04-2023";0;0
"Amersfoort";158590;"05-04-2023";"18-04-2023";1;0,6
"Amstelveen";92331;"05-04-2023";"18-04-2023";0;0
"Amsterdam";903399;"05-04-2023";"18-04-2023";24;2,7
"Apeldoorn";165611;"05-04-2023";"18-04-2023";11;6,6
"Arnhem";163888;"05-04-2023";"18-04-2023";1;0,6
"Assen";68979;"05-04-2023";"18-04-2023";0;0
"Asten";17068;"05-04-2023";"18-04-2023";1;5,9
"Baarle-Nassau";6931;"05-04-2023";"18-04-2023";0;0
"Baarn";24876;"05-04-2023";"18-04-2023";0;0
"Barendrecht";48714;"05-04-2023";"18-04-2023";0;0
"Barneveld";60584;"05-04-2023";"18-04-2023";0;0
"Beek";15817;"05-04-2023";"18-04-2023";0;0
"Beekdaelen";35922;"05-04-2023";"18-04-2023";1;2,8
"Beesel";13408;"05-04-2023";"18-04-2023";0;0
"Berg en Dal";34951;"05-04-2023";"18-04-2023";1;2,9
"Bergeijk";18879;"05-04-2023";"18-04-2023";1;5,3
"Bergen (L.)";13106;"05-04-2023";"18-04-2023";0;0
"Bergen (NH.)";29723;"05-04-2023";"18-04-2023";2;6,7
"Bergen op Zoom";67894;"05-04-2023";"18-04-2023";2;2,9
"Berkelland";43850;"05-04-2023";"18-04-2023";0;0
"Bernheze";31715;"05-04-2023";"18-04-2023";0;0
"Best";30608;"05-04-2023";"18-04-2023";0;0
"Beuningen";26235;"05-04-2023";"18-04-2023";1;3,8
"Beverwijk";42084;"05-04-2023";"18-04-2023";0;0
"Bladel";20718;"05-04-2023";"18-04-2023";0;0
"Blaricum";12359;"05-04-2023";"18-04-2023";0;0
"Bloemendaal";23732;"05-04-2023";"18-04-2023";1;4,2
"Bodegraven-Reeuwijk";35752;"05-04-2023";"18-04-2023";1;2,8
"Boekel";11030;"05-04-2023";"18-04-2023";0;0
"Borger-Odoorn";25681;"05-04-2023";"18-04-2023";1;3,9
"Borne";24007;"05-04-2023";"18-04-2023";0;0
"Borsele";22847;"05-04-2023";"18-04-2023";0;0
"Boxtel";33129;"05-04-2023";"18-04-2023";0;0
"Breda";184702;"05-04-2023";"18-04-2023";6;3,2
"Bronckhorst";36077;"05-04-2023";"18-04-2023";2;5,5
"Brummen";20890;"05-04-2023";"18-04-2023";0;0
"Brunssum";27674;"05-04-2023";"18-04-2023";0;0
"Bunnik";15590;"05-04-2023";"18-04-2023";2;12,8
"Bunschoten";22325;"05-04-2023";"18-04-2023";0;0
"Buren";27155;"05-04-2023";"18-04-2023";1;3,7
"Capelle aan den IJssel";67188;"05-04-2023";"18-04-2023";5;7,4
"Castricum";36263;"05-04-2023";"18-04-2023";0;0
"Coevorden";35517;"05-04-2023";"18-04-2023";1;2,8
"Cranendonck";20669;"05-04-2023";"18-04-2023";0;0
"Culemborg";29397;"05-04-2023";"18-04-2023";5;17
"Dalfsen";29162;"05-04-2023";"18-04-2023";0;0
"Dantumadiel";18957;"05-04-2023";"18-04-2023";0;0
"De Bilt";43508;"05-04-2023";"18-04-2023";2;4,6
"De Fryske Marren";51597;"05-04-2023";"18-04-2023";2;3,9
"De Ronde Venen";44955;"05-04-2023";"18-04-2023";1;2,2
"De Wolden";24511;"05-04-2023";"18-04-2023";1;4,1
"Delft";104572;"05-04-2023";"18-04-2023";6;5,7
"Den Helder";56334;"05-04-2023";"18-04-2023";9;16
"Deurne";32606;"05-04-2023";"18-04-2023";3;9,2
"Deventer";101446;"05-04-2023";"18-04-2023";5;4,9
"Diemen";31822;"05-04-2023";"18-04-2023";1;3,1
"Dijk en Waard";87695;"05-04-2023";"18-04-2023";5;5,7
"Dinkelland";26594;"05-04-2023";"18-04-2023";0;0
"Doesburg";11036;"05-04-2023";"18-04-2023";0;0
"Doetinchem";58546;"05-04-2023";"18-04-2023";4;6,8
"Dongen";26483;"05-04-2023";"18-04-2023";2;7,6
"Dordrecht";119537;"05-04-2023";"18-04-2023";0;0
"Drechterland";19983;"05-04-2023";"18-04-2023";0;0
