"Gemeente";"Inwoners";"Van";"Tot";"Zkh opname";"Zkh opname per 100.000";"Aantal x100 miljard"
"'s-Gravenhage";553417;"17-4-2023";"23-4-2023";8;1,4;459,94
"'s-Hertogenbosch";156538;"17-4-2023";"23-4-2023";4;2,6;226,32
"Aa en Hunze";25579;"17-4-2023";"23-4-2023";1;3,9;806,21
"Aalsmeer";32452;"17-4-2023";"23-4-2023";0;0;663
"Aalten";27100;"17-4-2023";"23-4-2023";0;0;621,33
"Achtkarspelen";27954;"17-4-2023";"23-4-2023";0;0;490,53
"Alblasserdam";20087;"17-4-2023";"23-4-2023";0;0;154,08
"Albrandswaard";25934;"17-4-2023";"23-4-2023";0;0;416,71
"Alkmaar";110783;"17-4-2023";"23-4-2023";1;0,9;257,73
"Almelo";73155;"17-4-2023";"23-4-2023";1;1,4;940,22
"Almere";217828;"17-4-2023";"23-4-2023";0;0;730,69
"Alphen-Chaam";10425;"17-4-2023";"23-4-2023";0;0;84,25
"Alphen aan den Rijn";112926;"17-4-2023";"23-4-2023";5;4,4;330,04
"Altena";57009;"17-4-2023";"23-4-2023";0;0;694,12
"Ameland";3757;"17-4-2023";"23-4-2023";0;0;1239,95
"Amersfoort";158590;"17-4-2023";"23-4-2023";0;0;971,97
"Amstelveen";92331;"17-4-2023";"23-4-2023";0;0;562,58
"Amsterdam";903399;"17-4-2023";"23-4-2023";9;1;984,42
"Apeldoorn";165611;"17-4-2023";"23-4-2023";4;2,4;439,54
"Arnhem";163888;"17-4-2023";"23-4-2023";1;0,6;266,62
"Assen";68979;"17-4-2023";"23-4-2023";0;0;587,62
"Asten";17068;"17-4-2023";"23-4-2023";0;0;150,66
"Baarle-Nassau";6931;"17-4-2023";"23-4-2023";0;0;943,97
"Baarn";24876;"17-4-2023";"23-4-2023";0;0;450,92
"Barendrecht";48714;"17-4-2023";"23-4-2023";0;0;492,87
"Barneveld";60584;"17-4-2023";"23-4-2023";0;0;474,34
"Beek";15817;"17-4-2023";"23-4-2023";0;0;125,14
"Beekdaelen";35922;"17-4-2023";"23-4-2023";1;2,8;135,69
"Beesel";13408;"17-4-2023";"23-4-2023";0;0;
"Berg en Dal";34951;"17-4-2023";"23-4-2023";0;0;604,01
"Bergeijk";18879;"17-4-2023";"23-4-2023";1;5,3;276,88
"Bergen (L.)";13106;"17-4-2023";"23-4-2023";0;0;327,5
"Bergen (NH.)";29723;"17-4-2023";"23-4-2023";1;3,4;229,05
"Bergen op Zoom";67894;"17-4-2023";"23-4-2023";1;1,5;170,61
"Berkelland";43850;"17-4-2023";"23-4-2023";0;0;184,76
"Bernheze";31715;"17-4-2023";"23-4-2023";1;3,2;532
"Best";30608;"17-4-2023";"23-4-2023";0;0;118,22
"Beuningen";26235;"17-4-2023";"23-4-2023";2;7,6;669,71
"Beverwijk";42084;"17-4-2023";"23-4-2023";0;0;
